country,sheng,shi,qu,lat,lng,region
中国,北京市,北京市,,39.929985778080244,116.39564503787868,1156110000
中国,北京市,北京市,东城区,39.938574012986116,116.42188470126446,1156110000
中国,北京市,北京市,西城区,39.934280143708506,116.37319010401802,1156110000
中国,北京市,北京市,朝阳区,39.95895316640668,116.52169489108084,1156110000
中国,北京市,北京市,丰台区,39.841937852204744,116.2583703354677,1156110000
中国,北京市,北京市,石景山区,39.938866544645535,116.18455581036746,1156110000
中国,北京市,北京市,海淀区,40.03316204507791,116.23967780102151,1156110000
中国,北京市,北京市,门头沟区,40.000893031476494,115.79579538125095,1156110000
中国,北京市,北京市,房山区,39.72675262079634,115.86283631290442,1156110000
中国,北京市,北京市,通州区,39.80981488385132,116.74007918067628,1156110000
中国,北京市,北京市,顺义区,40.15495147044136,116.72822904528137,1156110000
中国,北京市,北京市,昌平区,40.2217235498323,116.21645635689416,1156110000
中国,北京市,北京市,大兴区,39.652790118364464,116.42519459737913,1156110000
中国,北京市,北京市,怀柔区,40.63813934031092,116.59340835643431,1156110000
中国,北京市,北京市,平谷区,40.215925453895686,117.15043344819172,1156110000
中国,北京市,北京市,密云区,40.51733485384564,117.09666568438286,1156110000
中国,北京市,北京市,延庆区,40.535475747111406,116.16188313979872,1156110000
中国,天津市,天津市,,39.14392990331008,117.21081309155257,1156120000
中国,天津市,天津市,河西区,39.08449373961522,117.23616545061846,1156120000
中国,天津市,天津市,和平区,39.124808844702834,117.20281365402629,1156120000
中国,天津市,天津市,河东区,39.12662568466626,117.2616931652718,1156120000
中国,天津市,天津市,南开区,39.11698728552219,117.16272794945208,1156120000
中国,天津市,天津市,河北区,39.17314893392419,117.22029676507721,1156120000
中国,天津市,天津市,红桥区,39.170621331225036,117.16221680791986,1156120000
中国,天津市,天津市,东丽区,39.139604642774685,117.41478234324516,1156120000
中国,天津市,天津市,西青区,39.03506461148468,117.126201346647,1156120000
中国,天津市,天津市,津南区,38.96979053272527,117.39290995971812,1156120000
中国,天津市,天津市,北辰区,39.259130625978926,117.18060609828129,1156120000
中国,天津市,天津市,武清区,39.457042575494015,117.0345779137272,1156120000
中国,天津市,天津市,宝坻区,39.61554400413299,117.41142059078037,1156120000
中国,天津市,天津市,滨海新区,39.05917663803484,117.64628627057449,1156120000
中国,天津市,天津市,宁河区,39.39042157005324,117.6312358291958,1156120000
中国,天津市,天津市,静海区,38.83751080460669,116.98682530718416,1156120000
中国,天津市,天津市,蓟州区,40.00945631195096,117.47034191571122,1156120000
中国,河北省,石家庄市,,38.048958314615454,114.52208184420765,1156130100
中国,河北省,石家庄市,长安区,38.07687479578664,114.59262155387032,1156130100
中国,河北省,石家庄市,桥西区,38.03336455006813,114.43813995531944,1156130100
中国,河北省,石家庄市,新华区,38.11721864047816,114.4535014286928,1156130100
中国,河北省,石家庄市,井陉矿区,38.08109756115976,114.05074376291132,1156130100
中国,河北省,石家庄市,裕华区,38.01462104571157,114.58638255261187,1156130100
中国,河北省,石家庄市,藁城区,38.0894901139448,114.82809608577793,1156130100
中国,河北省,石家庄市,鹿泉区,38.089969323508726,114.35731900345093,1156130100
中国,河北省,石家庄市,栾城区,37.913285951809904,114.64775310252735,1156130100
中国,河北省,石家庄市,辛集市,37.92412187640935,115.298749505208,1156130100
中国,河北省,石家庄市,晋州市,37.991145102246215,115.09173828063929,1156130100
中国,河北省,石家庄市,新乐市,38.37757802583929,114.76227076682581,1156130100
中国,河北省,石家庄市,井陉县,38.000890815810976,114.07795206334612,1156130100
中国,河北省,石家庄市,正定县,38.22707253547888,114.570201323482,1156130100
中国,河北省,石家庄市,行唐县,38.54669530138655,114.45743612436708,1156130100
中国,河北省,石家庄市,灵寿县,38.51093598541389,114.18781898136919,1156130100
中国,河北省,石家庄市,高邑县,37.62265087075653,114.60738469340113,1156130100
中国,河北省,石家庄市,深泽县,38.194680827355405,115.2331024279265,1156130100
中国,河北省,石家庄市,赞皇县,37.62813245296578,114.28955340433096,1156130100
中国,河北省,石家庄市,无极县,38.18328602020015,114.95113960112629,1156130100
中国,河北省,石家庄市,平山县,38.40876219172478,113.87242852701141,1156130100
中国,河北省,石家庄市,元氏县,37.80735264100913,114.4283601562808,1156130100
中国,河北省,石家庄市,赵县,37.76961244836501,114.83493823755896,1156130100
中国,河北省,唐山市,,39.6505309225366,118.18345059773412,1156130200
中国,河北省,唐山市,路北区,39.65784568002943,118.18506997307695,1156130200
中国,河北省,唐山市,路南区,39.6129869967351,118.2060402863935,1156130200
中国,河北省,唐山市,古冶区,39.72304478037776,118.46223153817564,1156130200
中国,河北省,唐山市,开平区,39.692123420846144,118.25784790074827,1156130200
中国,河北省,唐山市,丰南区,39.384662748592994,118.08584709898905,1156130200
中国,河北省,唐山市,丰润区,39.78990941033889,118.05949036617352,1156130200
中国,河北省,唐山市,曹妃甸区,39.26603784107154,118.41596118318785,1156130200
中国,河北省,唐山市,遵化市,40.13790106402117,117.95763912761619,1156130200
中国,河北省,唐山市,迁安市,40.040442513260345,118.68695461732042,1156130200
中国,河北省,唐山市,滦州市,39.6505309225366,118.18345059773412,1156130200
中国,河北省,唐山市,滦南县,39.36073889990078,118.5493846645562,1156130200
中国,河北省,唐山市,乐亭县,39.357228891896135,118.93994305703049,1156130200
中国,河北省,唐山市,迁西县,40.23850766081205,118.37138905433555,1156130200
中国,河北省,唐山市,玉田县,39.81884335578796,117.73475264490035,1156130200
中国,河北省,秦皇岛市,,39.94546156589757,119.60436761611841,1156130300
中国,河北省,秦皇岛市,海港区,39.98877957711658,119.57761724582842,1156130300
